rows,fd_time_sec_cum,aad_time_sec_cum,wall_time_sec_cum
4140000,45437.315531,15324.415637,80832.389741
4150000,45547.003026,15361.427737,81027.659180
4160000,45656.466488,15398.372784,81222.234402
4170000,45765.956553,15435.327799,81417.273375
4180000,45875.433268,15472.258666,81612.629203
4190000,45985.060490,15509.219145,81807.359518
4200000,46094.730239,15546.194370,82002.866817
4210000,46204.316362,15583.165195,82198.404852
4220000,46313.897320,15620.154362,82392.620295
4230000,46423.374221,15657.106081,82586.628908
4240000,46532.892275,15694.058218,82780.751130
4250000,46644.478298,15731.450914,82980.242232
4260000,46754.047815,15768.428252,83173.955195
4270000,46863.643617,15805.401133,83367.492003
4280000,46973.296350,15842.393274,83561.465637
4290000,47083.170016,15879.441588,83756.234769
4300000,47192.586878,15916.394540,83950.368901
4310000,47302.088857,15953.406115,84146.275630
4320000,47411.377147,15990.368137,84340.170637
4330000,47520.776245,16027.359849,84534.319499
4340000,47630.237731,16064.365683,84728.546043
4350000,47739.523408,16101.326276,84922.632692
4360000,47848.844691,16138.265344,85116.548427
4370000,47958.398850,16175.227533,85310.976836
4380000,48067.581165,16212.148423,85505.522794
4390000,48176.767445,16249.079057,85701.130282
4400000,48286.299101,16286.036733,85896.273202
4410000,48395.948611,16323.032862,86091.849769
4420000,48505.571447,16360.028859,86285.837517
4430000,48615.555877,16397.198865,86481.758935
4440000,48725.163706,16434.197394,86676.616613
4450000,48834.586479,16471.176499,86871.671180
4460000,48945.010588,16508.364573,87069.064607
4470000,49054.547894,16545.331111,87263.046367
4480000,49163.970489,16582.285217,87456.444148
4490000,49275.557810,16619.743205,87656.152038
4500000,49385.084009,16656.717852,87849.969973
4510000,49494.313036,16693.668243,88045.429289
4520000,49603.702060,16730.627125,88239.755081
4530000,49712.937214,16767.578141,88434.033661
4540000,49822.095141,16804.540226,88628.491865
4550000,49931.148506,16841.453060,88822.732218
4560000,50040.229198,16878.366659,89017.186924
4570000,50149.194494,16915.272457,89211.379092
4580000,50258.343178,16952.192282,89405.793996
4590000,50367.491930,16989.094884,89600.178710
4600000,50476.695636,17025.999243,89794.715552
4610000,50586.101213,17062.933754,89989.514761
4620000,50695.487773,17099.876226,90183.058836
4630000,50805.015312,17136.826812,90376.820249
4640000,50914.284558,17173.775165,90570.497681
4650000,51023.667706,17210.730022,90764.227952
4660000,51133.152250,17247.706149,90958.370186
4670000,51242.403810,17284.619273,91153.087793
4680000,51351.871511,17321.597504,91349.245591
4690000,51462.117949,17358.708618,91546.706454
4700000,51571.710327,17395.680679,91741.983257
4710000,51680.979270,17432.604575,91937.917575
4720000,51791.413246,17469.828109,92135.736589
4730000,51902.854796,17507.223469,92335.807085
4740000,52011.982185,17544.122515,92529.756252
4750000,52121.282940,17581.067954,92723.801954
4760000,52230.526561,17617.989064,92917.543679
4770000,52339.832148,17654.921078,93111.680461
4780000,52449.064815,17691.822735,93305.701314
4790000,52558.512872,17728.754453,93499.962469
4800000,52668.035487,17765.718592,93695.113001
4810000,52777.377996,17802.654838,93890.489126
4820000,52886.938180,17839.635015,94084.905953
4830000,52996.550244,17876.605797,94279.438484
4840000,53105.946123,17913.546705,94473.722157
